property_id,property_number,city,ward_code,ward_name,zone_name,area_name,plot_no,survey_no,cts_no,final_plot_no,postal_code,geo_lat,geo_lng,land_area_sq_m,built_up_area_sq_m,occupancy_type,annual_rateable_value_inr,estimated_property_tax_inr,status,use_type,owner_name,owner_contact,structural_risk_band,last_field_verification_date,remarks
362fad27-a915-4546-b667-996a293c5978,BMC-KW-400058-000001,Mumbai,MCGM-KW,K/W Ward,Western Suburbs,Versova,74,163,504,97,400058,19.115078,72.852417,2214,622.2,mixed,31193,10284,active,vacant_land,Rashmi Patel,9900000001,low,2026-06-04,"Vacant parcel; development workflow more likely than trade workflow. Area context: Versova. Approx. land 2214 sq m, built-up 622.2 sq m."
f927dfab-e3e0-4867-8bf4-5b38cf463fad,BMC-RN-400068-000001,Mumbai,MCGM-RN,R/N Ward,Western Suburbs,Dahisar West,117,107,6896,243,400068,19.263178,72.849127,648,1771.0,rented,1151793,258797,under_verification,commercial,Prajakta Gadgil,9900000002,low,2025-10-30,"Frontage and signage potential flagged for annual review. Area context: Dahisar West. Approx. land 648 sq m, built-up 1771.0 sq m."
b4ee5d50-9979-4b34-8d21-4af3573b578d,PMC-NR-411014-000001,Pune,PMC-NR,Nagar Road Vadgaon Sheri,East,Viman Nagar,369,45,8938,205,411014,18.55208,73.927361,123,262.7,rented,34363,7211,disputed,residential,Asha Sutar,9900000003,low,2025-10-23,"Property verified against ward register; owner-occupied share likely high. Area context: Viman Nagar. Approx. land 123 sq m, built-up 262.7 sq m."
3bfb9515-8423-4540-bb2e-e0e9fa9976cf,BMC-PN-400064-000001,Mumbai,MCGM-PN,P/N Ward,Western Suburbs,Liberty Garden,540,276,8388,64,400064,19.195143,72.82857,467,1453.0,rented,1156237,199596,active,commercial,Savita More,9900000004,low,2026-02-12,"Frontage and signage potential flagged for annual review. Area context: Liberty Garden. Approx. land 467 sq m, built-up 1453.0 sq m."
c359488b-80d8-4f7f-8ab0-ee1d29e82872,BMC-N-400077-000001,Mumbai,MCGM-N,N Ward,Eastern Suburbs,Vidyavihar East,114,101,6003,67,400077,19.08843,72.89803,3792,3535.3,owner_occupied,617161,122290,active,institutional,Sunil Joshi,9900000005,low,2026-04-09,"Non-residential public/institutional use; inspections routed via department. Area context: Vidyavihar East. Approx. land 3792 sq m, built-up 3535.3 sq m."
429d1789-ccf5-4605-9a2c-ffb206d2c6a3,PMC-SR-411041-000001,Pune,PMC-SR,Sinhagad Road,South-West,Sinhagad Road,112,220,5401,239,411041,18.462103,73.83778,733,2817.9,owner_occupied,914240,181311,active,commercial,Fortune Hospitality,9900000006,low,2026-02-27,"Frontage and signage potential flagged for annual review. Area context: Sinhagad Road. Approx. land 733 sq m, built-up 2817.9 sq m."
b868b243-1964-4636-a69a-918b8ededf63,PMC-SR-411041-000002,Pune,PMC-SR,Sinhagad Road,South-West,Narhe,18,300,7423,75,411041,18.461171,73.834514,478,715.5,owner_occupied,84043,19782,active,residential,Vidya Jadhav,9900000007,low,2025-12-23,"Property verified against ward register; owner-occupied share likely high. Area context: Narhe. Approx. land 478 sq m, built-up 715.5 sq m."
18d57d6c-210d-45ba-bc2c-426ebca9a576,PMC-HM-411036-000001,Pune,PMC-HM,Hadapsar Mundhwa,East,Mundhwa,823,178,9070,109,411036,18.501572,73.929351,394,806.4,owner_occupied,114349,18464,active,residential,Anagha Deshmukh,9900000008,low,2026-03-03,"Property verified against ward register; owner-occupied share likely high. Area context: Mundhwa. Approx. land 394 sq m, built-up 806.4 sq m."
1433ea04-a9a4-4f6d-b83c-e8f039e2dcfe,BMC-RS-400067-000001,Mumbai,MCGM-RS,R/S Ward,Western Suburbs,Kandivali West,193,106,359,33,400067,19.216235,72.838676,199,464.6,owner_occupied,319369,77527,active,commercial,Ganesh Khan,9900000009,low,2026-02-24,"Frontage and signage potential flagged for annual review. Area context: Kandivali West. Approx. land 199 sq m, built-up 464.6 sq m."
e3f8261e-6bbb-4cd5-aaa0-4e7850d9f7dc,PMC-NR-411006-000002,Pune,PMC-NR,Nagar Road Vadgaon Sheri,East,Viman Nagar,994,215,3728,69,411014,18.547154,73.927972,81,187.6,rented,21201,4167,active,residential,Fortune Stationers,9900000010,low,2025-12-20,"Property verified against ward register; owner-occupied share likely high. Area context: Viman Nagar. Approx. land 81 sq m, built-up 187.6 sq m."
ab07c9dd-b4d3-43e7-9201-53b02e93184a,PMC-AB-411021-000001,Pune,PMC-AB,Aundh Baner,West,Pashan Link,636,103,6886,237,411045,18.564963,73.807087,3848,4062.1,rented,485654,64229,active,institutional,Sunrise Pharmacy,9900000011,low,2025-12-29,"Non-residential public/institutional use; inspections routed via department. Area context: Pashan Link. Approx. land 3848 sq m, built-up 4062.1 sq m."
