property_id,property_number,city,ward_code,ward_name,zone_name,area_name,plot_no,survey_no,cts_no,final_plot_no,postal_code,geo_lat,geo_lng,land_area_sq_m,built_up_area_sq_m,occupancy_type,annual_rateable_value_inr,estimated_property_tax_inr,status,use_type,owner_name,owner_contact,structural_risk_band,last_field_verification_date,remarks
b5414e08-ec0e-4f25-9b94-63409ac9ebf3,PMC-KY-411060-000001,Pune,PMC-KY,Kondhwa Yewalewadi,South,Kondhwa,425,20,882,102,411060,18.448523,73.886132,277,842.6,mixed,178121,37590,active,mixed_use,Gayatri Yadav,9900000001,medium,2026-03-15,"Ground-floor commercial activity noted; upper floors residential. Area context: Kondhwa. Approx. land 277 sq m, built-up 842.6 sq m."
ac51ce33-07d7-41c8-b08b-ac89cdc95f2b,PMC-KVW-411030-000001,Pune,PMC-KVW,Kasba Vishrambagwada,Central,Shaniwar Peth,541,264,6944,29,411030,18.511937,73.850069,467,566.9,owner_occupied,60152,13512,active,residential,Sunita Chavan,9900000002,low,2026-03-15,"Property verified against ward register; owner-occupied share likely high. Area context: Shaniwar Peth. Approx. land 467 sq m, built-up 566.9 sq m."
ac5341f0-191f-4550-b8f0-c6b4699b7028,BMC-FN-400019-000001,Mumbai,MCGM-FN,F/N Ward,City,Sion,895,69,7712,12,400019,19.034925,72.853899,773,1100.2,owner_occupied,717830,179760,active,commercial,Umesh Shah,9900000003,medium,2026-03-21,"Frontage and signage potential flagged for annual review. Area context: Sion. Approx. land 773 sq m, built-up 1100.2 sq m."
fb528bc6-0f19-4726-8e3a-0f87c8b0e4aa,BMC-RN-400068-000001,Mumbai,MCGM-RN,R/N Ward,Western Suburbs,Dahisar West,301,25,3312,12,400068,19.264534,72.859331,164,584.3,owner_occupied,456347,87349,active,commercial,Urban Logistics,9900000004,low,2025-09-09,"Frontage and signage potential flagged for annual review. Area context: Dahisar West. Approx. land 164 sq m, built-up 584.3 sq m."
ea669b30-9d51-4c47-90ea-563d3ef33112,BMC-KE-400069-000001,Mumbai,MCGM-KE,K/E Ward,Western Suburbs,Andheri East,745,180,6965,21,400069,19.116073,72.849794,2117,233.3,owner_occupied,16572,4025,active,vacant_land,Asha Kale,9900000005,high,2026-02-19,"Vacant parcel; development workflow more likely than trade workflow. Area context: Andheri East. Approx. land 2117 sq m, built-up 233.3 sq m."
2fa3573b-6da3-41e7-b236-e48651cc328d,BMC-ME-400043-000001,Mumbai,MCGM-ME,M/E Ward,Eastern Suburbs,Govandi,147,191,9964,174,400043,19.039383,72.923298,247,410.7,rented,133195,27716,active,residential,Priya Naik,9900000006,low,2026-03-07,"Property verified against ward register; owner-occupied share likely high. Area context: Govandi. Approx. land 247 sq m, built-up 410.7 sq m."
291a73e5-70de-485c-93bc-b3699a693eb8,PMC-SR-411051-000001,Pune,PMC-SR,Sinhagad Road,South-West,Dhayari,794,164,4274,181,411041,18.454912,73.83823,305,522.4,rented,65939,11668,active,residential,Milind Gadgil,9900000007,low,2026-04-29,"Property verified against ward register; owner-occupied share likely high. Area context: Dhayari. Approx. land 305 sq m, built-up 522.4 sq m."
6438a38d-99c1-4a64-a61f-34ac92ba6440,BMC-S-400078-000001,Mumbai,MCGM-S,S Ward,Eastern Suburbs,Bhandup West,243,295,8104,7,400078,19.14743,72.946603,1076,2087.4,owner_occupied,1349401,260937,active,commercial,Ganesh Chavan,9900000008,low,2026-01-12,"Frontage and signage potential flagged for annual review. Area context: Bhandup West. Approx. land 1076 sq m, built-up 2087.4 sq m."
df246ec0-0f8a-4b8f-a6b2-1db518012b52,PMC-NR-411014-000001,Pune,PMC-NR,Nagar Road Vadgaon Sheri,East,Nagar Road,515,65,917,213,411006,18.551082,73.918539,236,689.0,rented,123322,28497,active,mixed_use,Sunrise Warehousing,9900000009,low,2025-10-31,"Ground-floor commercial activity noted; upper floors residential. Area context: Nagar Road. Approx. land 236 sq m, built-up 689.0 sq m."
1f3fe89b-93d8-4fe5-9ff4-a6e2313e3f01,PMC-KB-411038-000001,Pune,PMC-KB,Kothrud Bavdhan,West,Kothrud,47,153,9459,68,411021,18.509762,73.798306,627,691.6,owner_occupied,121806,26223,active,mixed_use,Urban Solutions,9900000010,low,2025-12-23,"Ground-floor commercial activity noted; upper floors residential. Area context: Kothrud. Approx. land 627 sq m, built-up 691.6 sq m."
